Job Title,Company Name,Location,Experience,Salary,Job Description,Skills
Data Scientist,Uplers,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Python, TensorFlow, Computer Vision, Flink, Recommender systems, Vision, Apache Flink, System"
Business Analyst / Data Scientist,CBRE,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Data Visualization, Tableau, Analytics, Business analysis, Data analysis, Data"
Data Scientist - AI/ML,Trent Limited,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Artificial Intelligence, Machine Learning, Data Science, Azure Bot Framework, Azure Machine Learning, Predictive Modeling, Logistic Regression, Regression"
Data Scientist,Fortune 500 IT Services Company,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,
Data Scientist,Foreign IT Consulting MNC,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,
,,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,
,,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,
,,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,
Staff Data Scientist (AI/ML),Innovaccer,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"CRO, Health insurance, Enterprise applications, Healthcare, Life sciences, Operations, Analytics, Python"
Data Scientist,Ericsson,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Wireless, Computer science, Networking, Linux, WAN, Machine learning, Predictive modeling, Analytics"
Data Scientist,IBM,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"project management, natural language processing, neural networks, machine learning, artificial intelligence, algorithms, python, team management"
EY GDS - AIML - Data Scientist,EY,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Generative AI, Natural Language Processing, Aiml, Machine Learning, Python, Data Science, Artificial Intelligence, Pandas"
Machine Learning Data Scientist,Hsbc,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Trade, Data analysis, Interpersonal skills, data domain, data science, Machine learning, Programming, Data quality"
Data Scientist,Hexaware Technologies,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Data Science, Artificial Intelligence, gen AI, Generative Artificial Intelligence, Deep Learning, Machine Learning, Artificial Intelligence, Machine"
Data Scientist,ADM,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Operations research, SAS, Simulation, Analytical, Machine learning, Predictive modeling, SPSS, Data mining"
Data Scientist,Capgemini,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"data manipulation, sql, plsql, machine learning algorithms, statistics, python, data analysis, scikit-learn"
Data Scientist - Digital Solutions,Siemens,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Renewable energy, Analytical, Machine learning, Cloud, Agile, Manager Technology, Siemens, Open source"
"Data scientist - Python, SQL- 6+ years - Bangalore, Chennai, Hyderabad",Global leader in AI and Analytics.,Hybrid - Bengaluru,0-4 Yrs,19-27.5 Lacs PA,Shift : 10:00AM to 7:00PM ISTBachelors / Masters degree in computer science (or similar...,"Data Science, Machine Learning, Python, Presentation Skills, Consulting, Regression, Client Engagement, Random Forest"
